id,totalTramas
888880100037235,3958
358688800539215,8258
355488020979552,2937
358688800525990,25000
357857045070770,25000
352887075005425,18704
352887077515033,25000
358688800538407,25000
6028016075,25000
352887077516601,25000
865205030612013,4342
27044225340,25000
358688800526519,7294
358688800527129,24556
866159038873748,25000
865205030308224,25000
6028017389,25000
358688800523540,25000
358688800537482,25000
352887077596835,25000
358688800537003,25000
352887077596561,25000
866159039058240,25000
27044469120,21716
358688800525693,8188
862193021281993,25000
357857045070432,8634
866159038906563,9339
866159039053597,25000
862894021221075,25000
862894021172518,25000
358688800523243,11185
358688800526964,25000
868500020141545,25000
866159039112682,17431
358688800523375,8701
865205030309768,4311
358688800523482,25000
358688800537599,8200
865205030518160,25000
8170631785,25000
865205030516719,25000
358688800538167,25000
358688800523474,25000
358688800537375,20013
355488020823634,25000
355488020823595,12900
355488020823873,20473
358688800537797,24920
8616812754,25000
888880100036770,25000
352887077597312,25000
352887077596678,25000
352887077597387,23474
358688800526311,25000
352887077597841,11057
6028017440,23827
355488020945959,3995
358688800525644,8415
865205030265341,25000
358688800523870,25000
352887077597221,25000
358688800525255,7464
352887077597197,11767
862894021174969,25720
862894021213403,25000
355488020945968,25000
6028017595,25000
865205030612997,25000
355488020979544,25000
6028016646,25000
358688800537342,8028
358688800537755,25000
358688800537805,25000
