id,totalTramas
6028016075,24446
865205030612013,67518
864180037339293,85991
27044469120,3979
868500020141545,100000
865205030518160,42951
865205030516719,60709
864180037360281,51779
6028017440,24728
6028017595,53498
865205030612997,80631
6028016646,31385
358688800527129,22962
357857045070432,6049
358688800523243,4590
358688800523474,41642
8616812754,34873
358688800537342,8209
358688800526519,50000
888880100037145,6641
353506810025325,26051
6028017389,46680
358688800526964,46271
358688800523482,40402
012605000774960,25000
