id,totalTramas
865205030304926,41544
353506810025325,21680
866159038873748,36606
865205030308224,42827
358688800537482,46951
866159039058240,41369
866159039012379,45228
866159038908270,20011
866159038906563,39539
866159039053597,35200
866159039044588,65
866159039112682,43793
358688800537433,33129
358688800538118,40499
888880100036796,16483
864180030817964,37550
358688800539215,2029
868683023613460,31470
888880100036770,34332
865205030265341,40028
359710046985512,32808
358688800537763,24319
866159038928138,25000
