id,totalTramas
864180037339111,33252
866159039112450,27965
358688800527103,10345
358688800523540,54336
864180033024972,68251
358688800523375,6995
358688800523656,6509
352887077597841,100000
358688800523870,44661
358688800525255,47991
352887075005425,35659
359710048816897,16936
6028016075,25435
27044469120,3391
6028017440,21532
865205030612013,3629
358688800527129,27179
357857045070432,5120
358688800523243,50000
865205030518160,37383
6028016646,29678
358688800537342,8364
358688800523474,25000
8616812754,25000
864180037360281,25000
6028017595,25000
